player,session,serve_id,hit_est,landing_est,landing_actual,error
ryan,2,001,35,128,127,1
ryan,2,002,54,143,139,4
ryan,2,003,46,128,125,3
ryan,2,004,42,139,139,0
ryan,2,005,124,126,125,1
spencer,1,001,69,145,145,0
spencer,1,002,86,148,147,1
spencer,1,003,47,133,130,3
spencer,1,004,77,154,153,1
spencer,1,005,145,149,148,1
spencer,1,006,42,119,116,3
spencer,1,007,61,154,154,0
spencer,1,008,33,108,102,6
spencer,1,009,131,135,131,4
spencer,1,010,99,163,163,0
spencer,1,011,87,160,160,0
spencer,1,012,58,147,142,5
spencer,1,013,90,92,170,-78
spencer,1,014,72,152,152,0
spencer,1,015,70,148,142,6
spencer,1,016,68,130,130,0
spencer,1,017,89,166,160,6
spencer,1,019,49,140,137,3
spencer,1,020,30,111,107,4
spencer,3,002,129,131,130,1
spencer,3,003,149,156,155,1
spencer,3,004,133,136,133,3
spencer,3,005,114,121,115,6
spencer,3,006,73,159,155,4
spencer,3,007,38,119,113,6
spencer,3,008,98,100,97,3
spencer,3,009,118,119,119,0
spencer,3,010,20,161,158,3
spencer,3,011,114,115,115,0
spencer,3,013,50,126,122,4
spencer,3,014,103,110,104,6
spencer,3,015,62,138,139,-1
spencer,3,016,110,115,111,4
spencer,3,017,132,138,132,6
spencer,3,018,111,117,117,0
spencer,3,019,36,126,126,0
spencer,3,020,44,124,120,4
spencer,3,022,46,130,134,-4
spencer,3,023,119,126,120,6
cierra,4,001,123,202,202,0
cierra,4,002,122,202,202,0
cierra,4,003,107,186,187,-1
cierra,4,004,84,168,164,4
cierra,4,005,125,209,210,-1
cierra,4,006,85,166,165,1
paarth,1,001,62,112,112,0
paarth,1,002,15,23,97,-74
paarth,1,004,21,83,84,-1
bryan,4,001,86,163,157,6
bryan,4,005,91,149,145,4
ezra,3,001,236,318,315,3
ezra,3,002,49,126,122,4
ezra,3,003,65,66,66,0
ezra,3,004,66,67,67,0
ezra,3,005,73,88,82,6
ezra,3,006,108,109,109,0
ezra,3,007,13,92,87,5
ezra,3,009,36,126,120,6
ezra,3,010,94,95,95,0
ezra,3,012,90,91,91,0
ezra,3,014,95,104,96,8
ezra,3,015,89,95,90,5
ezra,3,016,83,90,85,5
ezra,3,017,115,116,116,0
ezra,3,018,112,135,137,-2
ezra,3,020,17,83,83,0
ezra,3,021,90,91,91,0
ezra,3,022,113,126,114,12
ezra,3,023,37,39,117,-78
ezra,3,024,147,159,149,10
ezra,3,025,314,319,315,4
ezra,3,026,79,80,80,0
ezra,3,027,137,143,138,5
ezra,3,028,67,91,86,5
ezra,3,029,139,140,140,0
ezra,3,030,115,116,116,0
ezra,3,033,34,40,119,-79
ezra,3,034,103,109,104,5
ezra,3,035,58,128,129,-1
ezra,3,036,88,163,172,-9
ezra,3,037,79,81,157,-76
ezra,3,038,63,65,163,-98
ezra,3,039,104,123,122,1
ezra,3,040,59,61,146,-85
ezra,3,041,67,174,175,-1
ezra,3,042,49,51,141,-90
ezra,3,043,130,131,131,0
ezra,3,044,58,59,148,-89
ezra,3,045,80,86,178,-92
