player,serve_id,session_id,source_video,output_clip,start_frame,end_frame,landing_frame,hit_frame,landing_x,landing_y
spencer,001,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_001.mp4,334,494,151,73,5.314,15.520
spencer,002,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_002.mp4,1948,2094,139,67,6.206,17.128
spencer,003,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_003.mp4,2398,2540,133,52,6.703,15.341
spencer,004,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_004.mp4,3146,3299,142,71,4.735,18.094
spencer,005,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_005.mp4,3743,3878,125,51,5.642,16.462
spencer,006,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_006.mp4,4062,4203,132,51,7.456,16.979
spencer,007,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_007.mp4,4628,4761,123,46,6.710,16.772
spencer,008,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_008.mp4,5565,5703,128,50,7.328,15.501
spencer,009,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_009.mp4,6282,6437,144,67,7.201,18.875
spencer,010,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_010.mp4,6779,6944,155,70,6.616,17.079
spencer,011,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_011.mp4,7251,7389,127,66,0.933,17.334
spencer,012,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_012.mp4,8271,8422,142,60,6.735,16.291
spencer,013,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_013.mp4,8516,8650,124,52,5.345,15.959
spencer,014,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_014.mp4,9005,9154,138,58,6.254,17.089
spencer,015,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_015.mp4,9281,9411,120,44,4.996,16.665
spencer,016,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_016.mp4,10323,10479,143,59,4.607,17.692
spencer,017,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_017.mp4,11062,11192,47,32,,
spencer,018,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_018.mp4,11302,11437,127,53,5.988,15.498
spencer,019,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_019.mp4,11724,11876,143,54,6.610,16.737
spencer,020,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_020.mp4,12072,12207,125,50,5.083,16.143
spencer,021,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_021.mp4,12397,12532,123,48,3.255,15.925
spencer,022,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_022.mp4,12718,12873,145,58,4.841,17.701
spencer,023,1,user/input/10-15-25-spencer.mp4,user/data/videos/spencer/session_1/serve_023.mp4,13465,13635,160,89,7.070,15.890
